date,open,high,low,close,volume
201810101435,26073,26077,26042,26042,85315
201810101440,26042,26077,26033,26068,54159
201810101445,26068,26068,26046,26051,58363
201810101450,26051,26064,26046,26046,67095
201810101455,26051,26051,26024,26033,102668
201810101500,26033,26033,26010,26024,113101
201810101505,26019,26037,26010,26028,104134
201810101510,26033,26033,26006,26028,86328
201810101515,26028,26037,26006,26010,113975
201810101520,26010,26010,25988,25992,60172
201810101530,26015,26015,26015,26015,47132
201810110905,25367,25497,25362,25484,443752
201810110910,25479,25484,25430,25443,212293
201810110915,25443,25470,25425,25430,101822
201810110920,25434,25439,25394,25412,252983
201810110925,25407,25434,25389,25430,431912
201810110930,25434,25470,25421,25457,125631
201810110935,25461,25470,25430,25457,93796
201810110940,25452,25452,25425,25448,86243
201810110945,25452,25511,25439,25506,128171
201810110950,25506,25529,25457,25461,111752
201810110955,25461,25488,25461,25470,56824
201810111000,25466,25470,25403,25403,114555
201810111005,25403,25407,25353,25380,148410
201810111010,25380,25389,25340,25344,84295
201810111015,25340,25353,25286,25286,136053
201810111020,25295,25344,25277,25331,200474
201810111025,25326,25326,25272,25295,147340
201810111030,25295,25349,25286,25308,87071
201810111035,25308,25317,25277,25317,142120
201810111040,25322,25326,25299,25308,73860
201810111045,25304,25308,25277,25277,281378
201810111050,25277,25304,25272,25299,56282
201810111055,25299,25317,25281,25281,90845
201810111100,25281,25304,25263,25299,145600
201810111105,25299,25308,25277,25304,34017
201810111110,25308,25308,25277,25304,49881
201810111115,25299,25340,25295,25335,49318
201810111120,25340,25353,25335,25340,99421
201810111125,25340,25349,25326,25349,28721
201810111130,25349,25349,25299,25299,44329
201810111135,25299,25313,25245,25250,97784
201810111140,25250,25254,25227,25232,94294
201810111145,25236,25245,25205,25209,87047
201810111150,25205,25214,25182,25187,79602
201810111155,25187,25214,25178,25196,80242
201810111200,25196,25200,25164,25187,57938
201810111205,25187,25205,25160,25196,62955
201810111210,25196,25200,25164,25187,60446
201810111215,25187,25191,25146,25160,59044
201810111220,25155,25169,25083,25088,85395
201810111225,25088,25128,25083,25110,192369
201810111230,25110,25124,25101,25119,55432
201810111235,25119,25128,25097,25101,90509
201810111240,25106,25146,25088,25124,57360
201810111245,25124,25128,25101,25110,32618
201810111250,25106,25106,25074,25092,75543
201810111255,25088,25124,25079,25106,88623
201810111300,25106,25119,25101,25106,51638
201810111305,25110,25115,25074,25083,25082
201810111310,25079,25092,25052,25052,52481
201810111315,25061,25074,25052,25061,21372
201810111320,25056,25061,25016,25025,88093
201810111325,25025,25025,24930,24935,117760
201810111330,24935,24953,24917,24921,209412
201810111335,24921,25025,24921,24989,124136
201810111340,24993,25097,24980,25097,86140
201810111345,25097,25128,25074,25106,123826
201810111350,25106,25133,25074,25106,113287
201810111355,25110,25115,25088,25110,68094
201810111400,25110,25146,25088,25146,107646
201810111405,25146,25160,25070,25070,190652
201810111410,25070,25079,25011,25016,256475
201810111415,25016,25038,24989,25002,247243
201810111420,25007,25025,24966,24971,254669
201810111425,24971,25029,24944,25020,243396
201810111430,25011,25020,24966,24980,273418
201810111435,24980,25007,24962,24984,231657
201810111440,24984,25029,24966,25007,225009
201810111445,25007,25034,24998,25011,236945
201810111450,25011,25020,24975,24993,194305
201810111455,24993,24998,24971,24993,262488
201810111500,24993,25002,24971,24998,232798
201810111505,24998,25047,24984,24993,272112
201810111510,24993,25007,24948,24971,323133
201810111515,24966,24989,24939,24966,290529
201810111520,24962,24962,24917,24930,277957
201810111530,24939,24939,24939,24939,91709
201810120905,24926,25029,24899,25025,218194
201810120910,25025,25034,24953,25002,110708
201810120915,25007,25020,24948,24953,178149
201810120920,24948,24980,24894,24975,107942
201810120925,24980,25020,24975,25007,280164
201810120930,25002,25043,24984,25043,207702
201810120935,25043,25052,24993,24998,113908
201810120940,24998,25052,24998,25025,209126
201810120945,25029,25065,25025,25061,115829
201810120950,25056,25056,25011,25025,122217
201810120955,25025,25061,25025,25056,82062
201810121000,25061,25070,25043,25065,104105
201810121005,25061,25074,25029,25034,132227
201810121010,25029,25038,24971,25016,63422
201810121015,25011,25016,24966,24975,32396
201810121020,24984,25029,24975,25025,28807
201810121025,25025,25061,25020,25061,51243
201810121030,25056,25079,25043,25065,105869
201810121035,25065,25065,25011,25020,47684
201810121040,25020,25097,25011,25088,70857
201810121045,25097,25133,25088,25115,78360
201810121050,25115,25146,25106,25142,117950
201810121055,25142,25160,25119,25151,33258
201810121100,25151,25164,25133,25133,43182
201810121105,25133,25137,25106,25106,120153
201810121110,25106,25142,25092,25097,78104
201810121115,25097,25128,25083,25128,128881
201810121120,25128,25142,25119,25124,113883
201810121125,25124,25155,25119,25142,143563
201810121130,25142,25160,25128,25137,139454
201810121135,25137,25146,25119,25128,156762
201810121140,25124,25124,25101,25110,141848
201810121145,25115,25119,25101,25110,123599
201810121150,25110,25110,25070,25070,136686
201810121155,25074,25101,25074,25088,177398
201810121200,25083,25092,25070,25092,121950
201810121205,25092,25097,25061,25088,168340
201810121210,25088,25106,25065,25065,123472
201810121215,25061,25070,25029,25047,107173
201810121220,25052,25115,25047,25101,248924
201810121225,25106,25137,25106,25124,182014
201810121230,25128,25133,25101,25128,160871
201810121235,25124,25128,25101,25124,128518
201810121240,25124,25155,25124,25146,194269
201810121245,25151,25191,25142,25187,164258
201810121250,25187,25214,25178,25209,255594
201810121255,25214,25223,25196,25209,327372
201810121300,25209,25223,25196,25209,229668
201810121305,25214,25214,25187,25200,209701
201810121310,25200,25200,25191,25200,206236
201810121315,25196,25223,25187,25200,358399
201810121320,25196,25218,25191,25214,187594
201810121325,25214,25245,25209,25232,203171
201810121330,25236,25241,25218,25232,167331
201810121335,25232,25245,25209,25223,160567
201810121340,25218,25241,25214,25236,137297
201810121345,25236,25259,25232,25254,133908
201810121350,25254,25295,25250,25295,138195
201810121355,25295,25322,25281,25322,160648
201810121400,25326,25335,25313,25326,144861
201810121405,25331,25349,25322,25340,144897
201810121410,25349,25358,25317,25322,147047
201810121415,25322,25344,25308,25335,173988
201810121420,25335,25353,25313,25322,183925
201810121425,25322,25380,25317,25376,150389
201810121430,25376,25385,25344,25344,290948
201810121435,25344,25362,25335,25353,132756
201810121440,25353,25358,25286,25304,217129
201810121445,25304,25326,25299,25299,149053
201810121450,25299,25304,25200,25205,298454
201810121455,25205,25250,25191,25214,332145
201810121500,25209,25250,25196,25245,224930
201810121505,25245,25263,25196,25214,300649
201810121510,25214,25236,25187,25191,261709
201810121515,25191,25236,25178,25200,200126
201810121520,25205,25218,25182,25209,243242
201810121530,25182,25182,25182,25182,178741
201810150905,25115,25133,24998,25016,78283
201810150910,25002,25079,24989,25025,105714
201810150915,25025,25052,24998,25025,124941
201810150920,25016,25052,25011,25025,133895
201810150925,25020,25020,24993,25007,72070
201810150930,25011,25061,25011,25047,86093
201810150935,25052,25065,24980,24984,88872
201810150940,24980,25011,24975,24984,75744
201810150945,24984,25025,24984,25016,40387
201810150950,25011,25038,24998,25038,72758
201810150955,25034,25065,25029,25047,47346
201810151000,25043,25074,25025,25061,74079
201810151005,25061,25065,25011,25011,87600
201810151010,25011,25034,25007,25034,39715
201810151015,25029,25065,25020,25056,63964
201810151020,25052,25101,25047,25074,42673
201810151025,25074,25119,25074,25119,36373
201810151030,25115,25124,25079,25083,34070
201810151035,25101,25110,25047,25056,34463
201810151040,25047,25092,25047,25065,16861
201810151045,25065,25088,25047,25088,30858
201810151050,25092,25101,25043,25097,15336
201810151055,25097,25128,25083,25101,37023
201810151100,25110,25173,25110,25169,61925
201810151105,25169,25173,25128,25142,47242
201810151110,25137,25164,25133,25137,67312
201810151115,25133,25142,25115,25115,39031
201810151120,25110,25124,25092,25110,44045
201810151125,25110,25128,25083,25083,44309
201810151130,25088,25106,25083,25097,22566
201810151135,25101,25119,25052,25070,59916
201810151140,25065,25083,25052,25074,21103
201810151145,25070,25083,25052,25065,40261
201810151150,25065,25106,25065,25101,33363
201810151155,25101,25106,25079,25101,17277
201810151200,25092,25101,25074,25074,38317
201810151205,25074,25097,25061,25088,17462
201810151210,25088,25097,25061,25070,15324
201810151215,25070,25074,25047,25070,35231
201810151220,25065,25065,25052,25052,9551
201810151225,25047,25052,25029,25038,16327
201810151230,25043,25052,25034,25043,6897
201810151235,25043,25047,25020,25034,14651
201810151240,25029,25047,25025,25025,12044
201810151245,25029,25029,25002,25020,44122
201810151250,25020,25034,25007,25034,53961
201810151255,25029,25052,25029,25052,42608
201810151300,25052,25065,25043,25056,40163
201810151305,25056,25070,25047,25065,21896
201810151310,25070,25070,25043,25052,29242
201810151315,25052,25065,25047,25047,36314
201810151320,25047,25052,25029,25034,33592
201810151325,25029,25038,25025,25034,20854
201810151330,25029,25047,25029,25047,14697
201810151335,25047,25061,25043,25052,10529
201810151340,25056,25056,25025,25034,23108
201810151345,25034,25052,25025,25047,27963
201810151350,25047,25052,25029,25034,17478
201810151355,25029,25061,25029,25056,35112
201810151400,25056,25061,25043,25056,12459
201810151405,25061,25061,25002,25025,56643
201810151410,25020,25029,25007,25020,17983
201810151415,25016,25020,25002,25002,56655
201810151420,25002,25025,24998,25007,110324
201810151425,25002,25007,24984,25007,120380
201810151430,25007,25020,25002,25011,25111
201810151435,25007,25038,24998,25020,42440
201810151440,25016,25020,24989,24998,26112
201810151445,24998,25025,24998,25002,16402
201810151450,25002,25011,24980,24989,34695
201810151455,24989,24998,24975,24984,27286
201810151500,24984,24998,24980,24989,57244
201810151505,24984,25011,24984,25002,24465
201810151510,25002,25025,24998,25016,39450
201810151515,25016,25016,24993,24993,69454
201810151520,24993,25002,24980,24993,46026
201810151530,25043,25043,25043,25043,132999
201810160905,25151,25232,25137,25196,149420
201810160910,25196,25200,25155,25164,66680
201810160915,25164,25164,25137,25146,20818
201810160920,25142,25142,25110,25137,37946
201810160925,25133,25155,25115,25137,13895
